Card Name,Depiction,Card Effect
<Funhouse Mirrors,Distorted carnival mirrors reflecting multiple images,"A 15-foot area gains magical cover, causing attacks to have disadvantage against targets within for 10 rounds🎞️>"
<Clown’s Big Top,A colorful circus tent with clown motifs,"A 20-foot sphere forms with slippery, painted floor causing hostile creatures to make a DC [[13+d6]] Dexterity save or be knocked prone, allies gain difficult terrain for enemies 🌈>"
Illusionist's Spotlight,A bright spotlight shining center stage,A 30-foot line of dazzling light blinds enemies caught within for 1 round unless they succeed on a DC [[13 + d6]] Constitution save 🎭>
<Carnival Fog,Colorful smoke swirling in playful spirals,"A 30-foot line of dense fog, heavily obscuring vision and slowing movement by 10 feet for one minute or until dispersed 🌫️>"
Carnival Lights,"Twinkling, colorful lanterns floating above a merry crowd","A line of floating lights creates luminous terrain in a 30-foot line, 5 feet wide, illuminating dim light and imposing disadvantage on stealth checks for anyone inside the line for 1 minute 🎪>"
Phantom Spotlights,"Glowing lights focus on a 15-foot radius, blindingly bright then dim","All creatures in area must make a DC [[12 + d8]] Con save or be blinded and deafened for 1 round, others have disadvantage on Perception checks for 1 minute 🎆>"
Spotlight Sanctuary,"A glowing, circular stage light illuminating a 15-foot radius",Allies within gain 5 temporary hit points at the start of their turn for 3 rounds while enemies are blinded if they end their turn in the spotlight 💡>
</Card Name,Depiction,Card Effect>
The Great Tent Collapse,A giant circus tent ready to fall,"Cause a line of collapsing fabric and poles 40 feet long and 10 feet wide, forcing all creatures in the area to make a DC [[15 + d8]] Dex save or be knocked prone and take [[3d8]] bludgeoning damage"
Magician’s Wink,A grinning clown face on a card winks with a sly sparkle,Cause illusions of phantom hands to briefly distract creatures in a 15-foot cone
Trapdoor Fall,A stage floor panel swinging open revealing a pit,"Choose a 15-foot radius area within 60 feet, the ground there becomes difficult terrain and any creature entering it must succeed on a DC [[13 + d6]] Dex save or fall prone and take [[2d6]] bludgeoning damage🤹>"
<Magician’s Misdirection,A deck of enchanted cards fanning out with a smoke puff,Choose a 20-foot line within 60 feet
Puppet’s Grasp,Strings like marionette wires extend from your fingers,Choose a creature in a 20-foot radius. They must succeed on a DC [[14 + d6]] Dex save or be pulled 15 feet toward you and restrained until the end of their next turn 🤡>
Spectacle Strings,Marionette strings glowing with a faint magic,Choose up to three creatures in a 30-foot area
Ringmaster’s Command,A charismatic ringmaster gesturing broadly,Choose up to three creatures within 30 feet
Magician’s Mirror Maze,A series of fragmented mirrors reflecting light and illusions,"Conjure a 20-foot radius circle of mirrors that force enemies to reroll failed attack rolls once per turn while inside, but halving their movement speed as light confuses their perception 🪞"
<Carnival Tent,Brightly colored canvas tent with flashing lights,"Conjure a 20-foot radius tent of vibrant canvas for 1 hour that blocks line of sight but allows movement through, giving creatures inside half cover and advantage on Performance checks🎪>"
Fool’s Maze,A kaleidoscopic carnival maze twisting into itself,Conjure a 20-foot-radius illusionary maze. Enemies entering the area must succeed on a DC [[13 + d6]] Intelligence saving throw or be slowed (speed halved) and confused until they leave the maze 🎭
<Magician’s Rope,A glowing entangling rope suspended in midair,"Conjure a 30-foot line of spectral rope that restrains enemies in the line if they fail a DC [[14 + Charisma modifier]] Dexterity saving throw until the start of your next turn, dealing [[1d8]] bludgeoning damage on fail 🪢>"
<Magician's Veil,A theatrical magician pulling a shimmering veil from a top hat,Conjure a translucent veil in a 30-foot line that grants half cover to all creatures inside and lightly obscures vision for 1 minute 🪄>
Magician’s Guise,A magician’s top hat with swirling smoke emerging,"Conjure illusory duplicates of yourself that fill a 20-foot cube, granting you advantage on Stealth checks and imposing disadvantage on attack rolls against you until the start of your next turn 🎩"
Juggler’s Swarm,Floating glowing spheres weaving around each other in a chaotic dance,"Create 3 floating orbs in a 30-foot long area that impose disadvantage on ranged attacks passing through them, lasting for 1 minute or until dispelled 🎱>"
Juggler’s Volley,A cascade of glowing orbs swirling overhead,Create 5 floating orbs in a 30-foot line
<Weaver's Web,Intricately woven transparent threads stretch across a 30-foot line,"Create a 5-foot wide, 30-foot long line of invisible woven strands that count as difficult terrain and impose disadvantage on ranged weapon attacks passing through the web for 1 minute 🕸️>"
<Theatrical Trap,A spotlight rings an area of 10-foot radius on the ground,"Create a 10-foot radius circle of light spotlighting the area, causing creatures starting their turn inside the circle to make a DC [[13 + d4]] Intelligence save or be deafened and blinded until the start of their next turn 🎥>"
<Magician’s Mesh,Fine thread resembling silver spider webs stretched across a ringmaster’s wand,"Create a 10-foot radius web of shimmering threads that provide advantage on Stealth checks for allies inside and grapple any enemy that enters, DC [[12 + d6]] to break free 🕸️>"
Stagefire Trap,A small collection of theatrical pyrotechnics set on the ground,Create a 10-foot-radius firework zone that dazzles (disadvantage on attack rolls) enemies and grants allies advantage on performance or intimidation checks inside for 1 round 🎆>.
<Silken Snare,Web-like threads sparkling under a spotlight,"Create a 15-foot line of sticky silken thread that restrains creatures passing through unless they succeed on a DC [[13 + d4]] Dexterity saving throw for 1 minute, escape DC 15 🕸️>"
<Silken Veil,Delicate curtains of shimmering silk unfurling in a 15-foot radius,Create a 15-foot radius area of dense silken veils that provide total cover and impose disadvantage on Perception checks while inside for 1 minute🎭>
Magician’s Trap,A magician’s hat atop a stage trapdoor,"Create a 15-foot radius circle of magical trapdoors causing slick, shifting ground"
Threads of Safety,Glowing silken threads weaving into a protective net,Create a 15-foot radius mesh of shimmering threads that grants +2 AC and advantage on Dexterity saving throws to allies within the area for 1 minute 🕸️>
<Jester’s Hoop,A glowing hula hoop with clown motifs,Create a 15-foot radius ring of floating hoops that impose disadvantage on attack rolls made against creatures within the ring until the start of your next turn 🤡>
