Card Name,Depiction,Card Effect,Status
<Chaos Ballad,A swirling mass of musical notes floating in the air,"For 5 minutes, all creatures within one mile experience random emotional surges, gaining disadvantage on Insight checks and advantage on Persuasion checks 🔀>",
<Jester's Gambit,A colorful jester juggling glowing orbs,"For 1 minute, creatures within one mile must succeed on a DC [[14+d4]] Wisdom save at the start of their turn or be afflicted by the confused condition until their next turn 🤡>",
<Harlequin's Mirage,A dancing clown surrounded by flickering lights,"For 1 hour, illusions fill the area within one mile, causing all enemy creatures to suffer disadvantage on attack rolls unless they succeed on a DC [[13+d8]] Intelligence save 🎭>",
<Patchwork Reality,A quilt made of shifting fabrics and colors,"For 10 minutes, all terrain within one mile is distorted, causing all cover to shift randomly at the start of each round, and creatures must succeed on a DC [[15+d6]] Dexterity save to avoid falling prone when moving 📍>",
<Whispering Wind,A swirling gust with tiny glowing whispers,"All sounds within a mile are carried invisibly and indistinctly, causing disadvantage on Perception checks relying on sound for 30 minutes 🌬️>",
<Luck’s Pendulum,A swinging pendulum with shifting symbols,"For 10 minutes, all attack rolls and saving throws by creatures within a mile have advantage or disadvantage, decided randomly each round by a coin flip 🎲>",
<Jester's Folly,A colorful jester dangling from a crescent moon,"For 1 hour, all creatures within a mile radius must make a DC [[15]] Wisdom save at the start of their turn or act as if under the confusion spell for that turn 🤡>",
<Fool’s Gambit,A playing card with a smiling skull,"Until the card bearer loses concentration, all spells cast within a mile radius have their effects randomly swapped with another spell of equal level happening simultaneously 🔄>",
<Harlequin’s Grin,A grinning mask with sharp teeth,"For 1 minute, creatures within a mile radius compelled to laugh uncontrollably, each losing one action per turn unless they succeed a DC [[14]] Charisma save 😂>",
<Jester's Chuckle,A grinning clown juggling glowing orbs,"For 1 hour, any creature within one mile that attempts an attack roll or saving throw must succeed on a DC [[15+d4]] Wisdom save or the result is treated as a natural 1 🤡>",
<Crowd's Whimsy,A crowd of laughing faces blending into the mist,"For 10 minutes, all creatures within one mile ignore social cues and react only with laughter or tears, imposing disadvantage on Charisma checks 😢😂>",
<Fool's Gambit,A deck of cards scattered in midair,"Shuffle this card into the deck—once per day, the next card drawn from any deck has its effect doubled or reversed, chosen at random 🎲>",
<Pandemonium's Veil,A swirling rainbow storm enveloping a village,"For 5 minutes, weather and natural phenomena behave unpredictably within one mile: rain falls upwards, fire burns cold, and animals speak gibberish 🌈>",
<King of Jesters,A crowned clown sitting on a throne of cards,You may command one target within one mile to perform a harmless but humiliating act (DC [[14+d6]] Wisdom save to resist) once per hour,
<Jester's Gambit,A colorful jester juggling radiant orbs,"For 1 hour, all creatures within one mile must succeed on a DC [[15]] Charisma saving throw or be compelled to perform random, harmless antics (disadvantage on attack rolls and ability checks) for 1 minute",
<Pandemonium Pulse,A swirling vortex of multicolored light,Unleash chaotic energy in a 1-mile radius that causes all spells cast to have wild surges: roll [[d20]] on the Wild Magic Surge table for each spell cast in the area in the next 10 minutes 🌀>,
<Fool's Fortune,A tattered deck of cards spilling glowing coins,Each creature within one mile must roll a d20 and either gain advantage or disadvantage on the next roll or save they make within the next hour (determined randomly by the DM) 🎲>,
<Mirror of Misstep,A cracked hand mirror showing distorted reflections,"For 10 minutes, all ranged attacks within one mile have their targets swapped randomly among creatures in the radius, including the attacker’s own allies 🎯>",
<Laughing Mask,A grinning theatrical mask radiating chaotic energy,"For 1 minute, all creatures within one mile are overcome with uncontrollable laughter, becoming incapacitated and unable to take actions unless they succeed on a DC [[14]] Constitution save 😂>",
<Clown’s Chaos,A painted clown face with a wide grin,"For 10 minutes, all ranged attacks within one mile have their damage dice rolled upside down (e.g., a 6 counts as 1, 5 as 2, etc.) 🎭>",
<Fool’s Fortune,A tattered card displaying a smiling fool,"Once pulled, roll [[1d20]] to determine a random beneficial or harmful effect within one mile lasting 5 minutes (effects range from sudden gusts of wind, random teleportations, to bursts of inspiration granting advantage on skill checks) 🎲>",
<Mirror of Mirth,A hand mirror reflecting a weeping clown,"All creatures within one mile must succeed on a DC [[13+d6]] Charisma saving throw or begin uncontrollably laughing for 1 minute, incapacitated and unable to take actions 😂>",
<Card of the Balancing Trick,A jester juggling glowing orbs,"For 10 minutes, all creatures within one mile must reroll one attack or saving throw of their choice and take the second result instead 🃏>",
<Pandemonium Pulse,A chaotic swirl of colors and shapes,"For 1 minute, the area within one mile explodes with random vivid illusions causing creatures to make a DC [[15]] Wisdom saving throw or be charmed or frightened (roll a d2: 1 = charmed, 2 = frightened) for the duration 🎭>",
<Jester’s Gambit,A colorful clown flipping a coin,"The card user can choose one minute during the day to cause a random beneficial or harmful effect affecting all creatures within one mile, determined by rolling a d6: 1-2 = healing [[2d8]] HP, 3-4 = poison condition, 5 = gain advantage on all saves, 6 = disadvantage on all attacks 🤡>",
<Fool’s Mirage,"A blurry, shifting figure dancing on a hill","For 10 minutes, visibility within one mile is halved and all ranged attacks beyond 30 feet have disadvantage as the environment flickers and shifts like a mirage 🌫>",
