Card Name,Depiction,Card Effect
<False Trail,A pair of footprints that suddenly vanish,"After you move, you can leave behind illusory tracks that mislead trackers for 1 hour 🔍>"
<Mind Maze,An intricate maze overlaying a frightened face,All creatures in a 20-foot radius must succeed on a DC [[14]] Intelligence saving throw or be unable to take reactions until the start of your next turn 🧠>
<Lie's Resonance,A pulsing rune of tangled threads,"All creatures of your choice within 15 feet must succeed on a DC [[15]] Wisdom saving throw or take psychic damage equal to [[2d6]] and be unable to speak truth for 1 minute, effectively imposing disadvantage on Persuasion checks 🧠>"
<Web of Confusion,A tangled spiderweb shimmering with ethereal light,All creatures of your choice within 15 ft must succeed on a DC [[14]] Intelligence saving throw or be affected by the confusion spell for 1 minute 🕸️>
<Crowd's Confusion,A swirling vortex of faces blending into one,"All creatures within 30 feet must succeed on a Wisdom saving throw or become unable to distinguish friend from foe for 1 minute, causing attacks to roll with disadvantage 🔄>"
<Blinkstep,A pair of mismatched footprints fading away,"As a bonus action, teleport up to 30 feet to an unoccupied space you can see"
<Mirage Step,Footprints fading into mist,"As a bonus action, you teleport up to 30 feet to an unoccupied space you can see that is lightly obscured by illusion or darkness 🌫️>"
<Evasive Mirage,A flickering duplicate of yourself,"As a reaction when targeted by an attack, impose disadvantage on that attack by creating a fleeting illusion of your location 🌀>"
<Bait and Switch,A card with two identical figures swapping places,"As a reaction, when hit by an attack, you can swap places with a willing creature within 30 feet, causing the attack to target the new position instead 🔄>"
<Mirage Veil,"A shimmering, translucent mask floating in air","Become invisible until you attack or cast a spell, or for up to 1 minute 🌫>"
<Whispered Falsehood,A mouth whispering into a shadowy ear,Cast disadvantage on the next Charisma (Deception) check you make within the next hour 🤫>
<Veil of Shadows,A swirling mist obscuring a figure,Cast invisibility on yourself for up to 1 hour or until you attack or cast a spell 🕶️>
<Smoke and Mirrors,An ornate mask shrouded by smoke,"Cast minor illusion at will without verbal components for 10 minutes, usable once per long rest 🎭>"
<False Promise,"Two masked faces, one frowning, one smiling","Cast the spell ""Suggestion"" at 2nd level, requiring no verbal component and made without expending a spell slot 🗣️>"
<Veil of Confusion,A swirling mist obscuring vision,Choose a 20-foot radius within 60 feet
<Phantom Echo,A ghostly double mimicking a spellcasting gesture,Choose a creature within 30 feet
<Web of Lies,"A spider weaving a glowing, intricate web",Choose a creature within 30 feet
<False Footsteps,A pair of footprints leading in two directions,"Choose a target within 30 feet—they must succeed a DC [[15]] Wisdom saving throw or be fooled by an illusory sound or image distracting them, imposing disadvantage on their next attack or ability check 👣>"
<Silent Tongue,A mouth with a lock over it,Choose one creature that cannot speak or cast spells with verbal components for 1 minute unless it succeeds a DC [[15]] Constitution saving throw 🤐>
<Whispered Falsehood,A mouth with a tongue made of smoke,Choose one creature within 30 feet
<False Friend,"Two hands shaking, one skeletal beneath the other",Choose one creature within 30 feet
<Whispered Doubt,A stylized ear with a faint wisp of smoke,Choose one creature within 30 feet
<Whispered Falsehood,A mouth whispering with a trail of shimmering words,Choose one creature within 30 feet to believe a falsehood
<False Footing,A pair of mismatched boots walking in opposite directions,Choose one creature within 30 feet—its next movement provokes opportunity attacks as if it moved 5 feet closer to enemies it can see 👣>
<Veil of Confusion,A swirling fog around a single figure,Choose one creature within 30 feet—target must succeed on a DC 14 Intelligence saving throw or be confused (roll on the confusion table) for 1 minute 🤯>
<Mirror's Whisper,A shimmering face reflecting a false expression,"Choose one creature within 30 feet, they must succeed on a DC 15 Wisdom saving throw or be deceived by an illusion of your choice, granting you advantage on your next Charisma check against them 🪞>"
<Whispered Lies,A mouth covered by a finger in a hush gesture,Choose one creature within 30 ft
<Mirror’s Gaze,A cracked mirror reflecting a distorted face,Choose one creature you can see
<Silent Tongue,A tongue wrapped in shadows,Choose one target within 30 feet— they cannot speak or cast spells with verbal components for 1 minute unless they succeed on a DC [[14]] Constitution saving throw 🤐>
<Web of Facades,A network of marionette strings tangled around several figures,Choose up to five creatures in a 20-foot radius
<Web of Lies,A spiderweb woven between two hands,Create a 10-foot radius illusionary web at a point within 60 feet
<Smoke and Shadows,A swirling cloud of dark smoke,Create a 20-foot-radius sphere of thick smoke centered on you that heavily obscures the area for 1 minute 🌫️>
<Echo of Lies,A distorted reflection in a cracked mirror,Create an illusory double of yourself for 1 minute that mimics your actions but cannot attack
<Mirror’s Mirage,A cracked mirror reflecting multiple distorted faces,Create an illusory double of yourself for 1 minute that mimics your movements and distracts enemies
<Mirror's Gambit,Two identical faces split by a jagged line,"Create an illusory double of yourself that lasts 1 minute, imposing disadvantage on attack rolls against you 🎭>"
<Smoke and Mirrors,A swirling kaleidoscope of colors and shapes,Create an illusory double of yourself that lasts for 1 minute
<Mirror's Gambit,A shattered mirror reflecting a different face,"Create an illusory double of yourself within 30 feet that mimics your actions for 1 minute, causing enemies to target it instead of you"
<Echo of Lies,A phantom double whispering deceit,"Create an illusory duplicate of yourself that distracts enemies, granting you advantage on Stealth checks for 10 minutes 👥>"
<Smoke and Mirrors,A swirling cloud of smoke reflecting distorted faces,"Create an illusory duplicate of yourself that lasts 1 minute, drawing attacks away from you 🎭>"
<Veil of Mirrors,A swirling fog of fragmented faces,"Create an illusory duplicate of yourself that mimics your actions for 1 minute, distracting enemies"
<Confounding Mirage,An illusory maze twisting in endless corridors,"Create an illusory duplicate of yourself that moves independently within 60 feet for 1 minute, granting attackers disadvantage on attacks against you as they target the duplicate instead 🌀>"
<False Alarm,An alarm bell that emits colored smoke instead of sound,"Create an illusory noise or visual effect of your choice audible or visible up to 60 feet, lasting 1 minute to distract or mislead foes 🔔>"
<False Footprints,"A trail of glowing, shifting footprints leading away","Create an illusory trail that misdirects pursuers, causing them to follow a false path for [[1d4+1]] rounds 🐾>"
<Mirror Mirage,A shattered mirror reflecting multiple distorted versions of one person,"Create illusory duplicates of a target within 30 feet, each taking 1 hit point and vanishing when hit, lasting 1 minute or until all duplicates disappear 🎭>"
<False Reflection,A mirror shattering into multiple distorted images,Create illusory duplicates of yourself that impose disadvantage on attacks against you until the start of your next turn 🤡>
<Mirror Trick,A shattered mirror showing multiple distorted reflections,"Create illusory duplicates of yourself that last for 1 minute, causing attackers to have disadvantage on attacks against you 🎴>"
<Smoke and Mirrors,A shattered mirror reflecting multiple images,"Create illusory duplicates of yourself that last for 1 minute, granting attackers disadvantage on attacks against you 🎭>"
<False Reflection,A fractured mirror showing multiple images,"Create illusory duplicates of yourself that mimic your actions for 1 minute, granting attackers disadvantage on you, concentration 👥>"
<Smoke and Mirrors,Two hands holding magical smoke that forms illusions,"Create illusory duplicates that move with you in a 20 ft radius for 1 minute, causing disadvantage on enemies' attacks within that area 🌫️>"
<False Trail,A trail of glowing footprints leading away from the user,"Create illusory footsteps for 1 hour that mislead pursuers, granting advantage on stealth checks to evade detection 🦶>"
<False Footsteps,Ghostly footprints fading into the air,"Create illusory footsteps that lead away from your actual location, granting advantage on Stealth checks to move silently for 10 minutes 👣>"
<False Footsteps,Ghostly footprints leading in different directions,Create illusory sounds of footsteps in any direction within 60 feet to mislead pursuers or enemies for 1 minute 👣>
<False Trail,A set of footprints leading off in different directions,Create illusory tracks that mislead trackers within 1 mile for 24 hours 🦶>
<Mirror’s Trick,A shattered hand mirror reflecting multiple distorted faces,"Create three illusory duplicates of yourself that last for 1 minute, each has AC 10 and 1 HP, and impose disadvantage on attack rolls targeting you 🎭>"
<Mirror Masque,A crystal mask that reflects multiple distorted faces,Create three illusory duplicates of yourself that mimic your actions for 1 minute
<Smoke and Mirrors,A swirling cloud of smoke revealing multiple indistinct figures,"Create three illusory duplicates that mimic your actions for 10 minutes or until destroyed, each having AC 10 and 1 HP 🃏>"
<False Light,A glowing orb that flickers and splits into many,Create up to three illusory lights that shed dim light and can mislead enemies within 60 feet for 10 minutes 💡>
<Mirrormaze,A shattered mirror reflecting multiple versions of the same character,"Creates 3 illusory duplicates of the target for 1 minute, each takes a hit before vanishing, illusions cause attackers to have disadvantage 🎭>"
<Veil of Smoke,A swirling cloud masking a face,"Creates a 10-foot radius cloud of thick smoke centered on you, heavily obscuring the area for 1 minute or until dispersed by wind 🍂>"
<Crowd’s Confusion,A swirl of masked faces blending into one another,Creates an illusionary crowd that imposes disadvantage on attack rolls and perception checks for all creatures within 20 feet for 1 minute 🌀>
<Mirror Mirage,Two identical illusory duplicates of you stand side by side,"Creates two illusory duplicates that mimic your actions, granting attackers disadvantage until the start of your next turn 🎭>"
<False Trail,"A twisted, broken path in a forest","For 1 hour, you can leave behind an illusory trail leading away from your true path, misleading pursuers who follow it to see [[1d4+1]] false tracks 🚶>"
<Silent Steps,A pair of footprints fading away,"For 1 hour, your movement leaves no sound and does not trigger opportunity attacks, and you have advantage on Stealth checks 👣>"
<Fool's Glimmer,Two contrasting eyes peeking through a cracked mask,"For 1 minute, attackers have disadvantage on attack rolls against you as illusions confuse their aim 🎭>"
<Chorus of Echoes,Multiple shadowy figures whispering in unison,"For 1 minute, create illusory duplicates of yourself causing attackers to have a 50% chance to target a duplicate instead of you, duplicates vanish if hit 👥>"
<Echoes of Deceit,Multiple shadowy silhouettes blurred around a person,"For 1 minute, enemies that attack you choose randomly if they target you or one of your illusory duplicates (up to three), debilitating their focus 🎲>"
<Veil of Misdirection,A swirling veil of smoke curling around a figure,"For 1 minute, enemies that target you must succeed on a Wisdom saving throw or attack another creature within 10 feet instead 💨>"
<Veil of Whispers,A shadowy figure with a blurred face,"For 1 minute, you can cast Disguise Self at will without expending a spell slot 🎭>"
<Cloak of the Trickster,A shadowy cloak slipping between pillars,"For 1 minute, you can move through creatures and objects as if they were difficult terrain"
<False Steps,Ghostly footprints leading away from the target,"For 10 minutes, tracking or chasing the target requires a DC [[15+Charisma modifier]] Survival check or they lose the trail 🚶‍♂️>"
<Whispered Veil,A shadowy figure covering its mouth while eyes gleam,"For 10 minutes, you can cast *Disguise Self* at will without expending a spell slot 🕶️>"
<Veil of Whispers,A swirling mist enveloping a masked figure,"For 10 minutes, you can cast Disguise Self at will without expending a spell slot 🎭>"
<Masks of Many Faces,A set of shifting masks floating in the air,"For 10 minutes, you can change your appearance to any humanoid you have seen and mimic their voice perfectly 🎭>"
<Mirror Mask,A smooth mask reflecting a distorted version of the wearer’s face,"For 10 minutes, you can change your appearance to any humanoid, gaining advantage on Deception checks 🪞>"
<Silent Tongue,A sealed mouth with a vine wrapped around it,"For 10 minutes, you can communicate only through telepathy within 30 feet and are immune to being overheard or magically eavesdropped on 🤫>"
<Eye of Deceit,An eye with a swirling vortex in place of the pupil,"For 10 minutes, you can reroll one Insight or Deception check per round, taking the better roll 👁>"
<Whispered Web,Spider webs tangled with faint glowing runes,"For 10 minutes, you can silently communicate telepathically with any creature within 60 feet that you've previously met, sharing whispered lies or secrets 🕸>"
<Silent Step,A pair of ethereal footprints fading into mist,"For 10 minutes, your movement makes no sound and cannot be tracked by nonmagical means 👣>"
<Fabricated Alibi,A parchment with false witnesses' signatures,"For one hour, any history, investigation, or insight checks related to you or your actions have disadvantage 📜>"
<Mirror’s Glint,A sharp eye reflected in a crackling mirror,"For one minute, any attack roll made against you has disadvantage as attackers see multiple illusory doubles 🪞>"
<Confounding Glimmer,"A shimmering, distorted shimmer around a person","For one minute, one creature’s movement is erratic—when it moves, roll a d6: on a 4-6, it moves in a random direction instead of its intended path 🔀>"
<Mislead,A shattered mirror reflecting multiple distorted faces,"For the next 10 minutes, creatures attacking you must roll [[1d20]] and hit only on a roll of 15 or higher as their attacks are misdirected 🎯>"
<Fox’s Tongue,A sly fox with a sly grin and tongue sticking out,"For the next 10 minutes, you can cast Disguise Self at will and gain advantage on Deception checks 🦊>"
<Whispering Shadow,A dark shadow whispering into an ear,"For the next 10 minutes, you can communicate telepathically with any creature you can see within 60 feet without speaking 🗣>"
<Silent Footsteps,A pair of shadowy boots leaving no prints,"For the next 10 minutes, your movement leaves no sound and no tracks, granting advantage on Stealth checks involving movement 👣>"
<Lie’s Echo,A cracked mask emitting echoing laughter,"For the next hour, any attempt to recall a truth from one creature within 60 feet has a 50% chance to instead recall a convincing but false memory 🌀>"
<Mirror Mask,A mask reflecting multiple fake faces,"For the next hour, when targeted by an attack, you can use your reaction to impose disadvantage on that attack as several illusory duplicates scatter around you 🎭>"
<Mirror’s Whisper,A cracked mirror reflecting multiple indistinct faces,"For the next minute, any attack against you has a 50% chance to target an illusory duplicate instead (DC 15 Wisdom save to disbelieve) 🪞>"
<Broken Reflection,A shattered mirror showing a distorted face,"For the next minute, you can create illusory duplicates of yourself that impose disadvantage on attack rolls against you, as if under the effect of *mirror image* 🪞>"
<Silent Step,A footprint fading into mist,"For the next minute, your movement does not provoke opportunity attacks, and you leave no tracks or noise while moving 🦶>"
<Whispered Doubt,A shadowed figure whispering into another's ear,"Force a creature within 30 feet to reroll their last saving throw, choosing the lower result [[1 use per long rest]] 🤫>"
<The Grand Deception,A masked figure holding a deck of cards with a sly grin,"Force all creatures within 20 feet to make a DC [[14+Charisma modifier]] Wisdom saving throw or be unable to distinguish friend from foe, causing disadvantage on attack rolls for 1 minute 🤡>"
<Whispered Falsehood,Two masked faces exchanging secrets,Force one creature within 30 feet to believe a lie of your choice for 1 minute—Insight save negates 🗣️>
