Card Name,Depiction,Card Effect,Status
<Silent Court,A circle of courtiers whispering behind a king,"All enemies within 30 feet are silenced, unable to cast spells with verbal components for 1 round 🤐>",Done
<Edict of Silence,A royal decree scroll sealed with wax,All enemies within 30 feet fail their next spellcasting attempt unless they pass a Intelligence saving throw 🤫>,Done
<Court Jester’s Mockery,A jester pointing and laughing maniacally,All enemies within 30 feet have disadvantage on attack rolls against targets other than you until your next turn 🤡>,Done
<Court Jester’s Mockery,A jester taunting a knight in shining armor,All enemies within 30 feet have disadvantage on attack rolls against you until the start of your next turn 🤡>,Bad
<Jester's Mockery,A court jester juggling fiery balls,All enemies within 30 feet have disadvantage on attack rolls and saving throws until the start of your next turn 🤡>,Done
<Jester’s Curse,A sinister joker’s mask floats with shadow and fire,All enemies within 30 feet have disadvantage on attack rolls until the end of your next turn 🤡>,Bad
<Courtly Whisper,Shadowy figures whispering secrets around a throne,All enemies within 30 feet have disadvantage on Perception checks and Wisdom saving throws for 1 minute or until they succeed on a saving throw 👑>,
<Fallen Court,A broken chessboard with scattered pieces,All enemies within 30 feet have their movement halved and gain vulnerability to psychic damage for 1 minute ♟️>,
<Silent Court,A royal court held in eerie silence,All enemies within 30 feet have their spellcasting ability and concentration checks disadvantaged for 1 minute 🔇>,
<Crown of Contempt,A golden crown floating with dark flames,All enemies within 30 feet must make a Charisma saving throw or be cursed to have disadvantage on saving throws for 1 minute 🔥>,
<Royal Decree,A parchment sealed with a regal wax stamp glowing ominously,All enemies within 30 feet must make a Charisma saving throw or be unable to take reactions until the end of your next turn 📜>,
<Court Jester's Mockery,A jester laughing wildly before a throne,All enemies within 30 feet must make a Charisma saving throw or have disadvantage on attack rolls and saving throws until the end of their next turn 🤡>,
<Royal Edict,A parchment sealed with a royal wax emblem,All enemies within 30 feet must make a Charisma saving throw or suffer disadvantage on attack rolls and ability checks until the end of their next turn 🏰>,
<Royal Ire,An angry king pointing a finger,All enemies within 30 feet must make a Charisma saving throw or suffer disadvantage on attack rolls for 1 minute as the king’s wrath saps their confidence 😠>,
<Exile's Edict,A scroll bearing the king’s seal cast across an armored knight,"All enemies within 30 feet must make a Constitution saving throw or be banished to a shadowy realm for 1 round, unable to act or be targeted ⚔️>",
<Edict of Exile,A royal decree scroll marked with a blood seal,"All enemies within 30 feet must make a DC [[14]] Charisma saving throw or be banished to a shadowy plane, effectively causing them to be stunned and unable to move until the end of their next turn 🌑>",
<Jester's Mockery,A colorful jester taunting a fallen noble,All enemies within 30 feet must make a DC [[14]] Charisma saving throw or be frightened for 1 minute,
<Court Intrigue,A tapestry showing scheming nobles whispering,"All enemies within 30 feet must make a DC [[15]] Intelligence saving throw or be confused, acting randomly on their next turn 🤯>",
<Royal Court’s Judgment,A grand hall filled with courtiers whispering,All enemies within 30 feet must make a DC [[16]] Charisma saving throw or be frightened and have disadvantage on attack rolls until the end of their next turn 👑>,
<Jester’s Taunt,A mischievous jester mocking a valiant knight,All enemies within 30 feet must make a DC 14 Charisma saving throw or be forced to use their reaction on their turn to attack another enemy of the user’s choice 🤡>,
<Courtly Condemnation,A panel of stern-faced courtiers accusing a villain,All enemies within 30 feet must make a DC 14 Charisma saving throw or be frightened until the end of their next turn 🏰>,
<Jester’s Mockery,A grin-faced jester taunting a fallen knight,All enemies within 30 feet must make a DC 14 Charisma saving throw or have Disadvantage on attack rolls and ability checks until the start of your next turn 🤡>,
<Regal Silence,A closed crown beam emitting silence over enemies,"All enemies within 30 feet must make a DC 14 Constitution saving throw or be muted for 1 minute, unable to cast spells with verbal components 🤐>",
<King’s Gaze,A stern king staring down his foes,All enemies within 30 feet must succeed on a DC [[14]] Wisdom saving throw or have their attack rolls reduced by 2 until the start of your next turn 👑>,
<Court’s Condemnation,A royal courtroom with an angry king pointing at a trembling subject,All enemies within 30 feet must succeed on a DC [[15]] Wisdom saving throw or be frightened and have disadvantage on saving throws for 1 minute 🏰>,
<Royal Edict,An ornate king’s seal stamped on a decree,All enemies within 30 feet must succeed on a DC [[15]] Wisdom saving throw or be silenced and unable to cast spells until the end of their next turn 📜>,
<Banished from Court,A disgraced noble being escorted out of a grand hall,All enemies within 30 feet must succeed on a DC [[16]] Charisma saving throw or have their movement speed halved and be unable to take reactions until the start of your next turn 🚪>,
<Edict of Silence,A royal herald shushing a crowd,All enemies within 30 feet must succeed on a DC 14 Constitution save or be muted—unable to cast spells with verbal components for 1 minute 🤐>,
<Jester's Mockery,A laughing jester pointing mockingly,All enemies within 30 feet must succeed on a DC 14 Wisdom saving throw or suffer disadvantage on attack rolls and saving throws for 1 minute 🤡>,
<Court’s Scorn,A Jester pointing mockingly while nobles laugh in the background,All enemies within 30 feet must succeed on a DC 15 Wisdom saving throw or be frightened until the end of their next turn 🤡>,
